title,url,area,in_practice_engine
Cooley's Reel – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/cooleys-reel-basic-2/,Irish course,no
Cotton Eyed Joe,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/cotton-eyed-joe/,Intermediate course (Modules 11-19),yes
Crazy Creek,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-9-chromatic-scale/crazy-creek/,Intermediate course (Modules 11-19),no
Cripple Creek – Basic,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/cripple-creek/,Beginner course (Modules 1-10),yes
Cripple Creek – Variation,https://wp.me/P8OLq8-7kF,wp.me shortlink (resolve),no
Cumberland Gap,https://fiddlehed.com/courses/intermediate-fiddle-lessons/fourth-finger/cumberland-gap/,Intermediate course (Modules 11-19),no
Dance Of The Sugar Plum Fairy,https://fiddlehed.com/dance-of-the-sugar-plum-fairy/,Standalone page,no
Danny Boy,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-3-double-down/danny-boy/,Intermediate course (Modules 11-19),yes
Dargason,https://fiddlehed.com/holiday-songs/dargason-basic-lesson/,Holiday songs,no
Dawning Of The Day,https://fiddlehed.com/community/group-lesson-home-page/learning-tunes-by-ear-workshop-dawning-of-the-day/,Community / workshop lessons,no
Dennis Murphy's Polka – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/dennis-murphys-polka/,Irish course,no
Der Badken Freylakh,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-9-chromatic-scale/der-badken-freylakh-lower-octave/,Intermediate course (Modules 11-19),no
Devil Went Down To Georgia,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/the-devil-went-down-to-georgia/,Old-Time / Appalachian course,no
Devil's Dream,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-5-soldiering-on/devils-dream/,Intermediate course (Modules 11-19),no
Done Gone,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-6-low-fourth-finger-i-iv-v/done-gone/,Intermediate course (Modules 11-19),yes
Double File – Basic,https://fiddlehed.com/appalachian-fiddle-old/double-file-basic-lesson/,Old-Time / Appalachian course,no
Double File – Variation,https://fiddlehed.com/appalachian-fiddle-old/double-file-variation/,Old-Time / Appalachian course,no
Down By The Sally Gardens,https://fiddlehed.com/community/group-lesson-home-page/practice-journey-mystery-tune-2/,Community / workshop lessons,no
Down in The Valley,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/down-in-the-valley/,Beginner course (Modules 1-10),no
Drops of Brandy,https://fiddlehed.com/courses/irish-fiddle-lessons/drops-of-brandy/,Irish course,no
Drowsy Maggie,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-5-soldiering-on/drowsy-maggie/,Intermediate course (Modules 11-19),no
Drunken Sailor,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-7-the-power-of-the-low-second-finger/drunken-sailor/,Beginner course (Modules 1-10),yes
Dueling Banjos,https://fiddlehed.com/lessons-taught-by-student-teachers/fortnite-dances-hootenanny-dueling-banjos/,Student-teacher lessons,no
