title,url,area,in_practice_engine
Rights Of Man – Basic,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-7-adding-double-stops-to-tunes/rights-of-man/,Intermediate course (Modules 11-19),yes
Rights Of Man – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/rights-of-man-variation/,Irish course,no
Road To Lisdonverna,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/road-to-lisdonverna/,Beginner course (Modules 1-10),yes
Roll In My Sweet Baby's Arms,https://fiddlehed.com/community/group-lesson-home-page/mystery-tune-workshop-5/,Community / workshop lessons,no
Rolling Waves – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/rolling-waves-basic-lesson/,Irish course,no
Rolling Waves – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/rolling-waves-variations-lesson/,Irish course,no
"Row, Row, Row Your Boat",https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/row-row-row-your-boat/,Beginner course (Modules 1-10),no
Rubber Dolly,https://fiddlehed.com/community/group-lesson-home-page/group-lesson-mystery-tune-1/,Community / workshop lessons,no
Sail Away Ladies,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/sail-away-ladies/,Old-Time / Appalachian course,no
Saint Anne's Reel,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-3-double-down/saint-annes-reel/,Intermediate course (Modules 11-19),yes
Sally Goodin,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/sally-goodin/,Intermediate course (Modules 11-19),no
Santa Claus Is Comin' to Town,https://fiddlehed.com/holiday-songs/santa-claus-is-comin-to-town/,Holiday songs,no
Scarborough Fair,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-4-more-scales-more-tunes-more-fun-more-or-less/scarborough-fair/,Beginner course (Modules 1-10),no
Scotland The Brave,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-6-living-in-the-ear-now/scotland-the-brave/,Beginner course (Modules 1-10),no
Shady Grove,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-7-the-power-of-the-low-second-finger/shady-grove/,Beginner course (Modules 1-10),yes
Shallow – A Star Is Born,https://fiddlehed.com/courses/intermediate-fiddle-lessons/star-is-born-shallow/,Intermediate course (Modules 11-19),no
She'll Be Coming Round The Mountain,https://fiddlehed.com/courses/note-reading-for-fiddlers/mystery-tune-1/,Note Reading course,no
Sheebeg and Sheemore,https://fiddlehed.com/courses/irish-fiddle-lessons/sheebeg-and-sheemore/,Irish course,no
Shenandoah,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-6-living-in-the-ear-now/shenandoah/,Beginner course (Modules 1-10),no
Shooting Creek – Beginner,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-4-more-scales-more-tunes-more-fun-more-or-less/shooting-creek-beginner-version/,Beginner course (Modules 1-10),yes
Shooting Creek – Intermediate,https://fiddlehed.com/courses/intermediate-fiddle-lessons/fourth-finger/shooting-creek-intermediate/,Intermediate course (Modules 11-19),no
Shortnin' Bread,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/shortnin-bread/,Beginner course (Modules 1-10),no
Shove That Pig's Foot Further On The Fire,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/shove-that-pigs-foot-further-on-the-fire/,Beginner course (Modules 1-10),no
Sitting On Top Of The World,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-7-adding-double-stops-to-tunes/sitting-on-top-of-the-world/,Intermediate course (Modules 11-19),no
Soldier's Joy – Beginner,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/soldiers-joy-beginner-version/,Beginner course (Modules 1-10),yes
Soldier's Joy – Intermediate,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-5-soldiering-on/soldiers-joy-intermediate/,Intermediate course (Modules 11-19),yes
Southwind,https://fiddlehed.com/courses/intermediate-fiddle-lessons/gotta-love-the-low-first/southwind/,Intermediate course (Modules 11-19),yes
Spanish Ladies,https://fiddlehed.com/community/group-lesson-home-page/practice-journey-mystery-tune-4/,Community / workshop lessons,no
Spootiskerry,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-3-double-down/spootiskerry/,Intermediate course (Modules 11-19),no
Swallowtail Jig,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-9-trying-triads/swallowtail-jig/,Beginner course (Modules 1-10),yes
Swallowtail Jig – Easy Fiddle/Bass Line,https://fiddlehed.com/duets/swallowtail-jig-easy-fiddle-bass-line/,Duets,no
Swallowtail Jig – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/swallowtail-jig-variation/,Irish course,no
Swallowtail – Harmony,https://fiddlehed.com/courses/irish-fiddle-lessons/swallowtail-jig-harmony/,Irish course,no
Take Me Out To The Ball Game,https://fiddlehed.com/courses/note-reading-for-fiddlers/magical-mystery-tune-4/,Note Reading course,no
Tam Lin – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/tam-lin-basic-lesson/,Irish course,no
Tam Lin – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/tam-lin-variation/,Irish course,no
Tennessee Waltz,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/tennessee-waltz/,Beginner course (Modules 1-10),no
Tennessee Waltz Duet,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-4-more-scales-more-tunes-more-fun-more-or-less/tennessee-waltz-duet/,Beginner course (Modules 1-10),no
Tetris Theme,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/tetris-theme/,Intermediate course (Modules 11-19),no
The Butterfly,https://fiddlehed.com/courses/intermediate-fiddle-lessons/fourth-finger/the-butterfly/,Intermediate course (Modules 11-19),yes
The Butterfly – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/the-butterfly-variation/,Irish course,no
The Grinch Song,https://fiddlehed.com/holiday-songs/how-to-play-the-grinch-song-on-violin/,Holiday songs,no
The Snowy Path,https://fiddlehed.com/courses/irish-fiddle-lessons/the-snowy-path/,Irish course,no
This Land Is Your Land,https://fiddlehed.com/courses/note-reading-for-fiddlers/magical-mystery-tune-3/,Note Reading course,no
This Old Man,https://fiddlehed.com/courses/note-reading-for-fiddlers/magical-mystery-tune-2/,Note Reading course,no
Tobin's Jig,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-9-trying-triads/tobins-jig/,Beginner course (Modules 1-10),yes
Turkey In The Straw,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/turkey-in-the-straw/,Beginner course (Modules 1-10),no
Twenty-Eighth of January – Basic,https://fiddlehed.com/appalachian-fiddle-old/twenty-eighth-of-january/,Old-Time / Appalachian course,no
Twenty-Eighth of January – Variation,https://fiddlehed.com/twenty-eighth-of-january-adding-variation/,Standalone page,no
"Twinkle, Twinkle Little Star – Sawmill Tuning",https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/twinkle-twinkle-little-star-sawmill-tuning/,Old-Time / Appalachian course,no
"Twinkle, Twinkle, Little Star",https://fiddlehed.com/courses/beginner-fiddle-lessons/start-fiddling-now-course-page/twinkle-1-1/,Beginner course (Modules 1-10),yes
"Twinkle, Twinkle, Little Star – Melodic Variation",https://fiddlehed.com/courses/art-of-fiddling/twinkle-twinkle-little-star-melodic-variation/,Art of Fiddling,no
Uncle Pen,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/uncle-pen/,Intermediate course (Modules 11-19),no
Wabash Cannonball,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/wabash-cannonball/,Beginner course (Modules 1-10),no
Wagon Wheel – 1st Break,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/wagon-wheel-1st-break/,Intermediate course (Modules 11-19),yes
Wagon Wheel – 2nd Break,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/wagon-wheel-2nd-break/,Old-Time / Appalachian course,no
Wagon Wheel – 3rd Break,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/wagon-wheel-3rd-break/,Old-Time / Appalachian course,no
Wagoner,https://fiddlehed.com/courses/intermediate-fiddle-lessons/look-both-ways-before-you-cross/wagoner/,Intermediate course (Modules 11-19),no
Waltzing Matilda,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/waltzing-matilda/,Intermediate course (Modules 11-19),no
Wassail – Basic,https://fiddlehed.com/holiday-songs/wassail-basic/,Holiday songs,no
Wassail – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/wassail-variation/,Irish course,no
Wayfaring Stranger,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-7-the-power-of-the-low-second-finger/wayfaring-stranger/,Beginner course (Modules 1-10),no
When The Saints Go Marching In,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-2-getting-plucky/when-the-saints-go-marching-in/,Beginner course (Modules 1-10),yes
Whiskey Before Breakfast,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-9-trying-triads/whiskey-before-breakfast/,Beginner course (Modules 1-10),yes
Whiskey Before Breakfast – Sawmill Tuning,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/whiskey-before-breakfast-sawmill-tuning/,Old-Time / Appalachian course,no
Wild Mountain Thyme,https://fiddlehed.com/courses/irish-fiddle-lessons/wild-mountain-thyme/,Irish course,no
Wild Mountain Thyme – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/wild-mountain-thyme-variation/,Irish course,no
Wildwood Flower,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/wildwood-flower/,Beginner course (Modules 1-10),yes
Will The Circle Be Unbroken,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/will-the-circle-be-unbroken/,Beginner course (Modules 1-10),no
Wind That Shakes The Barley,https://fiddlehed.com/courses/intermediate-fiddle-lessons/fourth-finger/wind-that-shakes-the-barley/,Intermediate course (Modules 11-19),no
Wise Maid – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/wise-maid-basic/,Irish course,no
Yankee Doodle,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/yankee-doodle/,Beginner course (Modules 1-10),no
Your Cheatin' Heart,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-7-the-power-of-the-low-second-finger/your-cheating-heart/,Beginner course (Modules 1-10),no
Your Song,https://fiddlehed.com/blog/how-to-play-fiddle-on-your-song-by-elton-john/,Blog / one-off,no
